"","Species","Region","Time","Value","Metric","Latitude_degreesN","Longitude_degreesW","along_shelf_distance_km"
"25","White hake","Gulf of Maine / Georges Bank",1992,6746,"Recruitment",40.47955686,-70.72420001,828.446039
"26","White hake","Gulf of Maine / Georges Bank",1993,6438,"Recruitment",40.36139547,-70.74041936,817.3058002
"27","White hake","Gulf of Maine / Georges Bank",1994,4346,"Recruitment",40.51182101,-70.50702448,843.6565816
"28","White hake","Gulf of Maine / Georges Bank",1995,2734,"Recruitment",40.67657842,-70.49086837,858.3141769
"29","White hake","Gulf of Maine / Georges Bank",1996,3481,"Recruitment",40.40761369,-70.61213514,828.8794512
"30","White hake","Gulf of Maine / Georges Bank",1997,4494,"Recruitment",40.46034533,-70.73484896,826.4137543
"31","White hake","Gulf of Maine / Georges Bank",1998,4448,"Recruitment",40.58397623,-70.71977025,838.0346349
"32","White hake","Gulf of Maine / Georges Bank",1999,5913,"Recruitment",40.48861163,-70.68643348,831.5220071
"33","White hake","Gulf of Maine / Georges Bank",2000,2501,"Recruitment",40.67540363,-70.46292463,859.7844628
"34","White hake","Gulf of Maine / Georges Bank",2001,2115,"Recruitment",40.53551709,-70.56903206,842.540767
"35","White hake","Gulf of Maine / Georges Bank",2002,2217,"Recruitment",40.71166794,-70.50113143,860.6596093
"36","White hake","Gulf of Maine / Georges Bank",2003,2109,"Recruitment",40.59326909,-70.49614997,851.666238
"37","White hake","Gulf of Maine / Georges Bank",2004,1935,"Recruitment",40.43264261,-70.74083783,823.4554738
"38","White hake","Gulf of Maine / Georges Bank",2005,3152,"Recruitment",40.46426535,-70.5168912,839.2541229
"39","White hake","Gulf of Maine / Georges Bank",2006,3838,"Recruitment",40.65232782,-70.50544152,855.8629659
"40","White hake","Gulf of Maine / Georges Bank",2007,3067,"Recruitment",40.522895,-70.4982223,844.7495694
"41","White hake","Gulf of Maine / Georges Bank",2008,3475,"Recruitment",40.64940364,-70.47681277,856.632906
"42","White hake","Gulf of Maine / Georges Bank",2009,3483,"Recruitment",40.59044988,-70.54315837,848.6868181
"43","White hake","Gulf of Maine / Georges Bank",2010,3034,"Recruitment",40.54577301,-70.58712033,841.6310066
"44","White hake","Gulf of Maine / Georges Bank",2011,2867,"Recruitment",40.48660363,-70.62489092,834.7560009
"45","White hake","Gulf of Maine / Georges Bank",2012,2820,"Recruitment",40.79419136,-70.55718802,864.6159013
"46","White hake","Gulf of Maine / Georges Bank",2013,3238,"Recruitment",40.7457291,-70.33436727,873.4671619
"47","White hake","Gulf of Maine / Georges Bank",2014,2960,"Recruitment",41.068272,-70.09433965,914.2246527
"48","White hake","Gulf of Maine / Georges Bank",2015,3334,"Recruitment",40.70259772,-70.34962414,868.7240872
"49","White hake","Gulf of Maine / Georges Bank",2016,2080,"Recruitment",40.90619759,-70.35421539,885.7850977
"50","White hake","Gulf of Maine / Georges Bank",2017,3168,"Recruitment",40.70691058,-70.3220756,870.712551
"51","White hake","Gulf of Maine / Georges Bank",2018,4038,"Recruitment",40.51051092,-70.63165718,836.6749955
