"Time","stock_id","Value","Var","Units","Pattern_check"
2015,"winter_skate_both",2.0724,"maximum intensity","degrees C","Winter skate both"
2015,"winter_skate_both",3.2584,"maximum intensity","degrees C","Winter skate both"
2015,"winter_skate_both",1.507,"maximum intensity","degrees C","Winter skate both"
2015,"winter_skate_both",1.9872,"maximum intensity","degrees C","Winter skate both"
2015,"winter_skate_both",2.9909,"maximum intensity","degrees C","Winter skate both"
2016,"winter_skate_both",1.8107,"maximum intensity","degrees C","Winter skate both"
2016,"winter_skate_both",1.1295,"maximum intensity","degrees C","Winter skate both"
2016,"winter_skate_both",1.9616,"maximum intensity","degrees C","Winter skate both"
2016,"winter_skate_both",2.0184,"maximum intensity","degrees C","Winter skate both"
2016,"winter_skate_both",1.9114,"maximum intensity","degrees C","Winter skate both"
2016,"winter_skate_both",3.4536,"maximum intensity","degrees C","Winter skate both"
2016,"winter_skate_both",1.6706,"maximum intensity","degrees C","Winter skate both"
2017,"winter_skate_both",2.2768,"maximum intensity","degrees C","Winter skate both"
2017,"winter_skate_both",2.3516,"maximum intensity","degrees C","Winter skate both"
2017,"winter_skate_both",2.6018,"maximum intensity","degrees C","Winter skate both"
2018,"winter_skate_both",1.7231,"maximum intensity","degrees C","Winter skate both"
2018,"winter_skate_both",2.3214,"maximum intensity","degrees C","Winter skate both"
2018,"winter_skate_both",3.5752,"maximum intensity","degrees C","Winter skate both"
2018,"winter_skate_both",3.1669,"maximum intensity","degrees C","Winter skate both"
2019,"winter_skate_both",1.8268,"maximum intensity","degrees C","Winter skate both"
2019,"winter_skate_both",2.5328,"maximum intensity","degrees C","Winter skate both"
2019,"winter_skate_both",1.4997,"maximum intensity","degrees C","Winter skate both"
2019,"winter_skate_both",2.5749,"maximum intensity","degrees C","Winter skate both"
2019,"winter_skate_both",2.093,"maximum intensity","degrees C","Winter skate both"
2019,"winter_skate_both",1.8638,"maximum intensity","degrees C","Winter skate both"
2020,"winter_skate_both",1.939,"maximum intensity","degrees C","Winter skate both"
2020,"winter_skate_both",1.6371,"maximum intensity","degrees C","Winter skate both"
2020,"winter_skate_both",3.3463,"maximum intensity","degrees C","Winter skate both"
2020,"winter_skate_both",2.5364,"maximum intensity","degrees C","Winter skate both"
2020,"winter_skate_both",1.7591,"maximum intensity","degrees C","Winter skate both"
2020,"winter_skate_both",2.5183,"maximum intensity","degrees C","Winter skate both"
